	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
0	0	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	517131	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	63294	129774	66480					63294	14:09:26.217	1542114622596632															0	1		Fixation	163	1226	573				1	1201	573	1247.0	585.0	1224	579	1224	579	321,48	136,00	333,75	132,92	327,62	134,46	217,93	163,00	566,11	283,55	162,12	559,77					588,85	588,85	2,61	2,62	0	0				
1	1	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	517131	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	63294	129774	66480					63404	14:09:26.327	1542114622706599															0	2		Fixation	160	679	501	4,56	5,12		34	617	515	722.0	480.0	669	497	669	497	165,20	151,69	193,28	161,02	179,24	156,35	216,34	163,35	566,65	281,57	162,43	559,70					589,57	589,57	2,61	2,62	0	0				
2	2	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	517131	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	63294	129774	66480					63594	14:09:26.517	1542114622896518															0	3		Fixation	120	847	486	4,89	111,80	106,68	91	805	494	887.0	465.0	846	479	846	479	215,35	157,25	237,27	165,06	226,31	161,15	216,27	163,72	567,04	281,68	162,87	560,05					590,07	590,07	2,67	2,65	0	0				
3	3	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	517131	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	63294	129774	66480					63754	14:09:26.677	1542114623056546															0	4		Fixation	207	780	319	2,73	123,29	11,50	139	761	313	799.0	306.0	780	309	780	309	203,72	205,82	213,87	207,84	208,79	206,83	216,05	164,41	567,33	281,05	163,63	560,24					590,59	590,59	2,59	2,62	0	0				
4	4	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	517131	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	63294	129774	66480					63988	14:09:26.910	1542114623289809															0	5		Fixation	123	724	234	0,66	111,31	348,01	209	697	226	748.0	237.0	722	231	722	231	186,40	229,28	200,18	226,27	193,29	227,77	215,39	165,37	568,03	280,48	164,79	560,91					591,62	591,62	2,53	2,58	0	0				
5	5	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	517131	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	63294	129774	66480					64124	14:09:27.047	1542114623426540															0	6		Fixation	287	715	211	1,58	0,97	249,67	250	686	200	729.0	201.0	707	200	707	200	183,50	236,34	195,15	235,86	189,32	236,10	215,17	165,68	568,43	280,35	165,17	561,19					592,11	592,11	2,54	2,57	0	0				
6	6	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	517131	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	63294	129774	66480					64434	14:09:27.357	1542114623736511															0	7		Fixation	297	774	210	1,39	8,94	7,97	343	756	202	806.0	211.0	781	206	781	206	202,20	235,83	215,74	233,16	208,97	234,49	215,82	165,47	568,07	281,07	164,92	560,89					591,66	591,66	2,55	2,51	0	0				
7	7	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	517131	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	63294	129774	66480					64751	14:09:27.674	1542114624053091															0	8		Fixation	437	825	202	0,91	325,75	316,81	438	805	195	853.0	200.0	829	197	829	197	215,47	237,48	228,16	236,13	221,81	236,81	215,27	164,71	567,90	280,53	164,25	560,69					591,28	591,28	2,58	2,54	0	0				
8	8	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	517131	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	63294	129774	66480					65207	14:09:28.130	1542114624509644															0	9		Fixation	130	853	221	19,44	280,27	314,51	575	832	239	881.0	212.0	856	225	856	225	222,59	225,74	235,87	233,03	229,23	229,38	214,37	163,63	568,03	279,63	163,52	560,70					591,10	591,10	2,62	2,58	0	0				
9	9	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	517131	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	63294	129774	66480					65414	14:09:28.337	1542114624716373															0	10		Fixation	107	982	931	1,20	283,69	3,43	637	946	934	1001.0	916.0	973	925	973	925	253,13	39,14	267,96	44,06	260,54	41,60	215,44	161,65	567,37	279,98	161,50	560,44					589,75	589,75	2,66	2,66	0	0				
