	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
0	0	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	304858	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	14942	61357	46415					14945	11:02:07.449	1542103383604117															0	1		Fixation	217	871	897				1	872.0	904.0	867.0	895.0	869.0	899.0	869.0	899.0	233,31	47,31	232,07	49,71	232,69	48,51	218,48	212,28	564,98	284,08	214,94	560,98					606,05	606,05	3,75	3,68	0	0				
1	1	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	304858	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	14942	61357	46415					15052	11:02:07.556	1542103383710810															0	2		Fixation	207	762	480	5,14	77,90		33	739.0	457.0	774.0	441.0	756.0	449.0	756.0	449.0	197,66	167,24	207,21	171,56	202,44	169,40	216,73	213,27	565,37	281,88	216,04	561,22					606,92	606,92	3,73	3,64	0	0				
2	2	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	304858	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	14942	61357	46415					15298	11:02:07.803	1542103383957413															0	3		Fixation	193	802	294	2,23	111,87	33,96	107	797.0	295.0	811.0	295.0	804.0	295.0	804.0	295.0	213,19	210,70	217,11	210,88	215,15	210,79	216,55	215,08	569,81	281,79	217,69	565,03					611,71	611,71	3,78	3,70	0	0				
3	3	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	304858	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	14942	61357	46415					15522	11:02:08.026	1542103384180720															0	4		Fixation	180	771	217	1,06	120,39	8,52	174	773.0	205.0	772.0	226.0	772.0	215.0	772.0	215.0	206,92	234,90	206,54	229,22	206,73	232,06	222,01	216,01	574,44	287,39	217,95	570,43					615,98	615,98	3,57	3,57	0	0				
4	4	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	304858	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	14942	61357	46415					15722	11:02:08.226	1542103384380705															0	5		Fixation	253	751	183	1,78	351,23	230,84	234	750.0	170.0	745.0	188.0	747.0	179.0	747.0	179.0	200,58	244,26	199,40	239,42	199,99	241,84	220,18	212,49	569,38	285,53	215,09	564,52					610,04	610,04	3,42	3,47	0	0				
5	5	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	304858	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	14942	61357	46415					16002	11:02:08.506	1542103384660655															0	6		Fixation	263	816	193	1,20	162,75	171,52	318	822.0	186.0	810.0	201.0	816.0	193.0	816.0	193.0	219,93	240,00	216,66	235,90	218,29	237,95	223,67	209,38	560,81	289,15	211,68	556,28					600,76	600,76	3,46	3,48	0	0				
6	6	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	304858	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	14942	61357	46415					16285	11:02:08.789	1542103384943971															0	7		Fixation	247	774	180	1,80	348,65	185,91	403	772.0	173.0	774.0	177.0	773.0	175.0	773.0	175.0	206,51	243,55	207,06	242,52	206,78	243,03	227,42	206,27	560,94	292,90	208,07	556,34					599,43	599,43	3,63	3,59	0	0				
7	7	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	304858	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	14942	61357	46415					16558	11:02:09.063	1542103385217327															0	8		Fixation	297	839	193	3,29	357,13	8,47	485	843.0	186.0	835.0	194.0	839.0	190.0	839.0	190.0	225,53	239,92	223,41	237,89	224,47	238,90	229,23	203,92	559,72	294,79	205,62	555,42					597,28	597,28	3,65	3,62	0	0				
8	8	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	304858	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	14942	61357	46415					16885	11:02:09.389	1542103385543876															0	9		Fixation	553	959	199	3,88	220,78	223,65	583	966.0	194.0	970.0	199.0	968.0	196.0	968.0	196.0	258,58	237,92	259,53	236,63	259,05	237,28	229,14	203,04	559,96	294,72	204,88	555,91					597,16	597,16	3,68	3,65	0	0				
9	9	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	304858	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	14942	61357	46415					17468	11:02:09.972	1542103386127194															0	10		Fixation	297	852	291	1,09	197,58	336,80	758	849.0	285.0	851.0	300.0	850.0	292.0	850.0	292.0	227,29	213,40	227,75	209,36	227,52	211,38	227,83	203,23	558,85	293,41	205,11	554,63					596,28	596,28	3,61	3,61	0	0				
