Parameter,RO,VS,RS,VO
N,28.0,28.0,27.0,27.0
Max,0.22328317901234568,0.3206983024691358,0.2797067901234568,0.30864197530864196
Min,0.029417438271604937,0.0699266975308642,0.014949845679012346,0.014949845679012346
Mean,0.10859306106701941,0.16239872685185186,0.10095164609053497,0.12331390032007315
Median,0.09768940920745033,0.15007510519644546,0.08285652021981023,0.10315392955197153
Variance,0.0023940563200750683,0.00424100094199772,0.003950221818100548,0.005160753039890669
StdDev,0.04892909482174249,0.065122967853114,0.0628507901151652,0.07183838138412271
