	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
0	0	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	400120	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	160614	236750	76136					160615	13:02:15.293	1539946931177446															0	1		Fixation	313	995	947				1	989	956	1009	935	999	945	999	945	264,54	33,41	269,90	38,94	267,22	36,17	234,29	154,69	540,75	293,23	153,40	538,34					561,34	561,34	3,33	3,18	0	0				
1	1	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	400120	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	160614	236750	76136					160952	13:02:15.630	1539946931514123															0	2		Fixation	357	917	552	7,99	110,50		102	899	537	941	521	920	529	920	529	240,54	145,89	251,83	150,05	246,19	147,97	234,25	155,75	540,77	292,86	154,44	538,28					561,71	561,71	3,35	3,13	0	0				
2	2	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	400120	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	160614	236750	76136					161359	13:02:16.036	1539946931920732															0	3		Fixation	147	818	288	3,07	113,95	3,45	224	803	299	839	278	821	288	821	288	214,96	209,54	224,42	215,44	219,69	212,49	234,30	156,08	541,19	292,88	154,93	538,73					562,21	562,21	2,97	2,85	0	0				
3	3	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	400120	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	160614	236750	76136					161532	13:02:16.210	1539946932093997															0	4		Fixation	227	773	187	1,50	357,87	243,93	276	765	195	788	169	776	182	776	182	204,71	237,51	210,89	244,68	207,80	241,10	233,12	156,66	541,50	291,78	155,76	538,52					562,75	562,75	2,91	2,77	0	0				
4	4	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	400120	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	160614	236750	76136					161782	13:02:16.460	1539946932344032															0	5		Fixation	260	827	189	2,79	176,02	178,15	351	816	200	832	167	824	183	824	183	218,41	236,25	222,75	245,23	220,58	240,74	233,68	158,61	544,07	292,43	157,56	541,28					565,80	565,80	2,87	2,74	0	0				
5	5	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	400120	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	160614	236750	76136					162068	13:02:16.746	1539946932630601															0	6		Fixation	297	726	182	1,27	346,22	170,20	437	716	190	733	163	724	176	724	176	191,69	238,98	196,24	246,10	193,97	242,54	229,80	160,64	546,74	288,52	160,12	543,10					569,18	569,18	2,94	2,77	0	0				
6	6	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	400120	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	160614	236750	76136					162385	13:02:17.063	1539946932947289															0	7		Fixation	280	771	193	1,70	0,93	14,71	532	770	204	776	175	773	189	773	189	205,93	235,09	207,67	243,00	206,80	239,04	229,29	162,64	551,69	288,04	162,16	547,86					574,53	574,53	3,02	2,82	0	0				
7	7	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	400120	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	160614	236750	76136					162685	13:02:17.363	1539946933247186															0	8		Fixation	923	833	192	1,84	210,46	209,53	622	821	210	833	183	827	196	827	196	219,83	233,52	223,02	240,89	221,43	237,21	236,08	165,86	555,18	294,90	165,03	552,19					578,63	578,63	3,01	2,85	0	0				
8	8	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	400120	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	160614	236750	76136					163628	13:02:18.306	1539946934190423															0	9		Fixation	167	775	226	0,87	178,20	327,74	905	769	231	773	216	771	223	771	223	205,70	227,96	206,91	231,97	206,30	229,97	235,01	166,36	553,28	293,88	164,84	550,64					577,06	577,06	2,92	2,79	0	0				
9	9	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	400120	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	160614	236750	76136					163812	13:02:18.489	1539946934373740															0	10		Fixation	190	743	225	1,64	1,92	183,71	960	740	231	746	206	743	218	743	218	197,96	227,91	199,52	234,69	198,74	231,30	235,38	164,29	552,38	294,24	162,82	549,67					575,49	575,49	2,89	2,76	0	0				
