	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
0	0	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	288233	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	166328	250903	84575					166329	10:08:55.940	1553072849888630															0	1		Fixation	310	1144	565				1	1146.0	537.0	1134.0	580.0	1140.0	558.0	1140.0	558.0	306,80	145,76	303,49	134,18	305,14	139,97	222,16	238,52	613,51	283,49	234,51	613,23					660,76	660,76	2,82	3,20	0	0				
1	1	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	288233	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	166328	250903	84575					166623	10:08:56.233	1553072850181914															0	2		Fixation	110	868	682	3,30	231,24		89	883.0	641.0	873.0	743.0	878.0	692.0	878.0	692.0	236,18	117,72	233,69	90,45	234,93	104,09	221,98	238,57	613,88	283,23	234,64	613,52					661,13	661,13	2,79	3,28	0	0				
2	2	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	288233	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	166328	250903	84575					166773	10:08:56.383	1553072850331888															0	3		Fixation	260	781	790	0,66	300,18	68,94	134	801.0	759.0	794.0	812.0	797.0	785.0	797.0	785.0	214,36	86,18	212,44	71,85	213,40	79,01	221,70	238,76	614,49	283,03	235,15	613,72					661,78	661,78	2,79	3,21	0	0				
3	3	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	288233	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	166328	250903	84575					167049	10:08:56.660	1553072850608573															0	4		Fixation	217	795	814	3,39	0,41	60,23	217	799.0	820.0	800.0	856.0	799.0	838.0	799.0	838.0	213,86	69,92	214,00	60,15	213,93	65,04	222,55	238,61	614,62	283,92	235,10	613,39					661,79	661,79	2,80	3,19	0	0				
4	4	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	288233	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	166328	250903	84575					167296	10:08:56.906	1553072850855161															0	5		Fixation	160	936	813	3,00	355,87	355,46	291	954.0	818.0	950.0	841.0	952.0	829.0	952.0	829.0	255,28	70,29	254,20	64,18	254,74	67,24	222,97	238,83	616,97	284,29	234,89	615,46					664,00	664,00	2,83	3,15	0	0				
5	5	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	288233	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	166328	250903	84575					167606	10:08:57.216	1553072851165151															0	6		Fixation	297	1061	822	1,69	359,19	3,32	384	1064.0	825.0	1058.0	836.0	1061.0	830.0	1061.0	830.0	284,75	68,56	283,04	65,46	283,90	67,01	224,18	238,36	621,91	285,51	234,69	620,19					668,24	668,24	2,87	3,16	0	0				
6	6	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	288233	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	166328	250903	84575					167939	10:08:57.549	1553072851498397															0	7		Fixation	123	1132	823	7,70	178,93	179,74	484	1165.0	786.0	1136.0	853.0	1150.0	819.0	1150.0	819.0	311,69	78,83	303,87	60,84	307,78	69,84	224,65	238,54	619,17	285,98	234,53	617,94					665,79	665,79	2,76	3,12	0	0				
7	7	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	288233	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	166328	250903	84575					168103	10:08:57.713	1553072851661696															0	8		Fixation	203	810	817	1,00	146,60	327,68	533	797.0	712.0	801.0	876.0	799.0	794.0	799.0	794.0	213,39	98,69	214,26	54,69	213,82	76,69	224,19	238,47	618,67	285,44	234,33	617,30					665,33	665,33	2,60	3,21	0	0				
8	8	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	288233	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	166328	250903	84575					168326	10:08:57.936	1553072851884969															0	9		Fixation	93	775	794	0,59	96,82	310,22	600	743.0	738.0	762.0	824.0	752.0	781.0	752.0	781.0	198,94	91,84	203,83	68,85	201,39	80,35	224,36	238,19	617,30	285,67	233,89	616,21					663,96	663,96	2,77	3,21	0	0				
9	9	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	288233	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	166328	250903	84575					168423	10:08:58.033	1553072851981715															0	10		Fixation	93	772	769	11,62	84,97	348,15	629	770.0	735.0	773.0	810.0	771.0	772.0	771.0	772.0	206,06	92,75	206,74	72,48	206,40	82,62	224,28	237,73	616,67	285,61	233,44	615,68					663,21	663,21	2,75	3,16	0	0				
