	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
0	0	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	251420	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	71735	135080	63344					71736	13:57:51.830	1545310669664831															0	1		Fixation	200	295	518				1	278.0	520.0	310.0	545.0	294.0	532.0	294.0	532.0	74,27	150,43	83,07	143,65	78,67	147,04	240,47	210,05	562,76	300,25	215,97	557,09					602,12	602,12	3,04	3,48	0	0				
1	1	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	251420	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	71735	135080	63344					71923	13:57:52.016	1545310669851508															0	2		Fixation	137	620	288	4,42	20,58		57	602.0	278.0	631.0	302.0	616.0	290.0	616.0	290.0	161,20	215,43	168,97	208,98	165,08	212,21	241,95	211,31	565,05	301,57	216,64	557,59					604,68	604,68	3,05	3,37	0	0				
2	2	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	251420	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	71735	135080	63344					72093	13:57:52.186	1545310670021502															0	3		Fixation	170	775	230	0,96	118,66	98,09	108	755.0	234.0	785.0	239.0	770.0	236.0	770.0	236.0	202,14	226,99	210,04	225,88	206,09	226,44	245,66	211,70	563,46	305,62	217,77	558,95					603,30	603,30	3,09	3,40	0	0				
3	3	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	251420	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	71735	135080	63344					72283	13:57:52.376	1545310670211440															0	4		Fixation	243	758	199	1,97	0,79	242,13	165	737.0	188.0	775.0	202.0	756.0	195.0	756.0	195.0	197,35	239,35	207,46	235,68	202,40	237,51	246,50	211,88	563,41	306,45	218,16	559,62					603,32	603,32	3,05	3,34	0	0				
4	4	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	251420	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	71735	135080	63344					72549	13:57:52.643	1545310670478076															0	5		Fixation	183	831	198	13,16	269,77	268,98	245	821.0	194.0	848.0	203.0	834.0	198.0	834.0	198.0	219,83	237,99	226,83	235,34	223,33	236,66	245,75	212,44	564,57	305,67	218,82	560,55					604,62	604,62	2,87	3,17	0	0				
5	5	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	251420	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	71735	135080	63344					72789	13:57:52.883	1545310670718041															0	6		Fixation	173	829	687	4,11	283,82	14,05	317	829.0	673.0	829.0	724.0	829.0	698.0	829.0	698.0	221,87	109,39	221,79	95,69	221,83	102,54	244,74	211,57	565,85	304,08	218,22	561,65					605,45	605,45	2,74	3,06	0	0				
6	6	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	251420	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	71735	135080	63344					72993	13:57:53.086	1545310670921414															0	7		Fixation	173	867	841	1,04	32,99	109,17	378	852.0	833.0	869.0	846.0	860.0	839.0	860.0	839.0	228,04	66,25	232,44	62,73	230,24	64,49	243,78	211,54	567,36	303,26	218,38	562,88					606,85	606,85	2,79	3,06	0	0				
7	7	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	251420	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	71735	135080	63344					73183	13:57:53.276	1545310671111341															0	8		Fixation	213	901	819	6,72	96,02	63,04	435	893.0	814.0	910.0	815.0	901.0	814.0	901.0	814.0	238,94	71,32	243,44	71,08	241,19	71,20	243,28	211,11	567,03	303,02	218,09	562,54					606,37	606,37	2,81	3,04	0	0				
8	8	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	251420	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	71735	135080	63344					73443	13:57:53.536	1545310671371353															0	9		Fixation	133	874	564	1,42	70,26	334,23	513	877.0	539.0	880.0	579.0	878.0	559.0	878.0	559.0	234,58	145,29	235,48	134,60	235,03	139,94	243,25	211,03	566,52	302,77	217,85	561,92					605,88	605,88	2,65	2,95	0	0				
9	9	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	251420	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	71735	135080	63344					73596	13:57:53.690	1545310671524657															0	10		Fixation	150	892	514	0,84	196,75	126,49	559	893.0	505.0	897.0	527.0	895.0	516.0	895.0	516.0	238,93	154,31	240,12	148,55	239,53	151,43	242,67	210,95	566,57	302,30	217,93	561,87					605,91	605,91	2,67	2,94	0	0				
