	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
0	0	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					145108	10:09:57.199	1540195808662689															0	1		Fixation	240	881	448				15	858.0	460.0	906.0	415.0	882.0	437.0	882.0	437.0	229,72	166,49	242,33	178,48	236,03	172,49	238,35	194,80	645,91	302,03	193,94	644,32					673,66	673,66	3,70	3,72	0	0				
1	1	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					145395	10:09:57.486	1540195808949335															0	2		Fixation	123	790	235	10,03	113,07		101																			-34,01										4	4				
2	2	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					145551	10:09:57.642	1540195809106014															0	3		Fixation	180	729	177	3,59	136,35	23,28	148	704.0	162.0	751.0	169.0	727.0	165.0	727.0	165.0	188,31	246,33	201,07	244,52	194,69	245,42	236,96	196,37	646,37	300,51	195,64	644,15					674,67	674,67	3,53	3,61	0	0				
3	3	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					145735	10:09:57.826	1540195809289329															0	4		Fixation	83	706	192	0,65	213,20	76,84	203	698.0	186.0	715.0	189.0	706.0	187.0	706.0	187.0	186,79	239,97	191,28	239,34	189,04	239,65	235,51	196,96	646,76	299,15	196,58	644,17					675,28	675,28	3,27	3,37	0	0				
4	4	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					145855	10:09:57.945	1540195809409266															0	5		Fixation	257	827	194	2,84	359,05	145,85	239	823.0	180.0	853.0	206.0	838.0	193.0	838.0	193.0	220,25	241,68	228,26	234,66	224,26	238,17	235,26	196,99	647,23	298,88	196,83	644,58					675,74	675,74	3,22	3,30	0	0				
5	5	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					146141	10:09:58.232	1540195809695943															0	6		Fixation	307	709	192	2,77	179,03	179,98	325	700.0	172.0	715.0	205.0	707.0	188.0	707.0	188.0	187,43	243,67	191,33	234,81	189,38	239,24	234,54	197,61	647,57	298,18	197,60	644,68					676,30	676,30	3,20	3,31	0	0				
6	6	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					146468	10:09:58.559	1540195810022508															0	7		Fixation	183	763	195	1,27	356,81	177,78	423	744.0	197.0	764.0	208.0	754.0	202.0	754.0	202.0	199,12	237,17	204,49	234,05	201,81	235,61	233,31	199,06	647,66	296,95	200,25	644,11					676,92	676,92	3,23	3,33	0	0				
7	7	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					146675	10:09:58.765	1540195810229201															0	8		Fixation	170	836	188	1,73	5,49	8,69	485	811.0	180.0	843.0	204.0	827.0	192.0	827.0	192.0	217,02	241,54	225,46	235,14	221,24	238,34	233,75	200,92	648,25	297,36	201,22	644,68					678,10	678,10	3,27	3,42	0	0				
8	8	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					146871	10:09:58.962	1540195810425854															0	9		Fixation	817	755	223	2,08	203,44	197,94	544	756.0	194.0	773.0	212.0	764.0	203.0	764.0	203.0	202,37	237,92	206,81	233,10	204,59	235,51	233,68	199,47	650,05	297,36	200,44	647,21					679,29	679,29	3,34	3,44	0	0				
9	9	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					147818	10:09:59.909	1540195811372345															0	10		Fixation	320	830	233	1,78	352,38	148,94	828	823.0	224.0	831.0	240.0	827.0	232.0	827.0	232.0	220,24	229,82	222,32	225,54	221,28	227,68	228,05	199,19	647,27	291,80	200,54	644,22					676,80	676,80	3,10	3,29	0	0				
10	10	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					148168	10:10:00.258	1540195811722289															0	11		Fixation	220	938	242	2,57	355,22	2,84	933	917.0	219.0	954.0	247.0	935.0	233.0	935.0	233.0	245,51	231,18	255,34	223,72	250,42	227,45	234,17	199,82	645,31	297,84	199,45	643,13					674,95	674,95	3,17	3,33	0	0				
11	11	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					148401	10:10:00.492	1540195811955562															0	12		Fixation	207	910	248	0,68	192,13	196,91	1003	897.0	234.0	922.0	262.0	909.0	248.0	909.0	248.0	240,16	227,23	246,67	219,58	243,41	223,41	231,05	198,81	645,89	294,73	199,56	643,36					675,26	675,26	3,03	3,20	0	0				
12	12	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					148644	10:10:00.735	1540195812198895															0	13		Fixation	220	716	262	4,59	184,14	352,01	1076	691.0	256.0	713.0	274.0	702.0	265.0	702.0	265.0	184,88	221,30	190,87	216,31	187,87	218,80	228,17	198,20	649,27	291,84	199,40	646,57					678,33	678,33	3,05	3,20	0	0				
13	13	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					148888	10:10:00.978	1540195812442225															0	14		Fixation	200	784	258	1,60	3,38	179,24	1149	766.0	249.0	792.0	267.0	779.0	258.0	779.0	258.0	205,02	222,97	211,98	218,28	208,50	220,62	228,86	198,98	650,19	292,53	199,81	647,36					679,43	679,43	3,05	3,21	0	0				
14	14	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					149104	10:10:01.195	1540195812658830															0	15		Fixation	580	742	256	0,98	177,26	173,89	1214	739.0	232.0	760.0	268.0	749.0	250.0	749.0	250.0	197,71	227,53	203,48	218,05	200,60	222,79	230,48	198,92	651,06	294,19	199,73	648,38					680,17	680,17	3,11	3,24	0	0				
15	15	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					149704	10:10:01.795	1540195813258742															0	16		Fixation	217	782	251	0,94	7,15	189,88	1394	772.0	246.0	791.0	256.0	781.0	251.0	781.0	251.0	206,68	223,94	211,73	221,16	209,20	222,55	232,61	199,15	652,98	296,32	199,63	650,46					681,96	681,96	3,07	3,22	0	0				
16	16	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					150048	10:10:02.138	1540195813602050															0	17		Fixation	250	794	227	0,63	63,51	56,36	1497	778.0	233.0	805.0	240.0	791.0	236.0	791.0	236.0	208,25	227,32	215,41	225,61	211,83	226,47	235,18	198,07	649,97	298,98	198,29	647,12					678,68	678,68	3,25	3,44	0	0				
17	17	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					150321	10:10:02.411	1540195813875304															0	18		Fixation	343	872	240	1,86	350,51	287,00	1579	852.0	216.0	883.0	243.0	867.0	229.0	867.0	229.0	227,92	231,99	236,34	224,59	232,13	228,29	237,26	198,05	651,30	301,00	198,17	648,96					679,86	679,86	3,31	3,48	0	0				
18	18	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					150677	10:10:02.768	1540195814231960															0	19		Fixation	173	908	251	0,89	342,96	352,45	1686	896.0	227.0	918.0	268.0	907.0	247.0	907.0	247.0	239,68	229,11	245,67	218,06	242,68	223,59	235,68	198,01	651,07	299,44	198,19	648,67					679,69	679,69	3,08	3,27	0	0				
19	19	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					150871	10:10:02.961	1540195814425244															0	20		Fixation	277	957	251	1,15	0,00	17,04	1744	941.0	235.0	965.0	260.0	953.0	247.0	953.0	247.0	251,77	226,86	258,35	220,10	255,06	223,48	234,98	198,32	651,04	298,71	198,82	648,82					679,78	679,78	3,01	3,24	0	0				
20	20	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					151187	10:10:03.278	1540195814741931															0	21		Fixation	140	772	285	4,43	190,45	190,45	1839	755.0	273.0	788.0	300.0	771.0	286.0	771.0	286.0	202,01	216,78	210,78	209,40	206,40	213,09	235,11	197,64	649,74	298,82	198,02	647,28					678,33	678,33	3,07	3,23	0	0				
21	21	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					151341	10:10:03.431	1540195814895225															0	22		Fixation	483	739	293	0,80	193,67	3,22	1885	726.0	280.0	749.0	299.0	737.0	289.0	737.0	289.0	194,31	214,77	200,55	209,80	197,43	212,29	234,62	197,67	650,35	298,36	198,04	647,80					678,92	678,92	3,08	3,23	0	0				
22	22	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					151851	10:10:03.941	1540195815405096															0	23		Fixation	223	826	302	2,05	354,07	160,41	2038	812.0	280.0	832.0	307.0	822.0	293.0	822.0	293.0	217,30	214,81	222,77	207,56	220,04	211,18	235,66	198,34	651,18	299,40	198,51	648,85					679,90	679,90	3,07	3,23	0	0				
23	23	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	698133	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	145060	284612	139551					152097	10:10:04.188	1540195815651801															0	24		Fixation	267	757	294	1,63	173,37	179,29	2112	747.0	284.0	768.0	318.0	757.0	301.0	757.0	301.0	199,98	213,67	205,46	204,65	202,72	209,16	236,74	198,03	650,72	300,48	198,13	648,53					679,33	679,33	3,02	3,18	0	0				
