	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
0	0	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	366172	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	32174	90558	58383					32174	12:11:54.471	1540289528539174															0	1		Fixation	370	874	575				1																			-34,01										4	4				
1	1	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	366172	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	32174	90558	58383					32518	12:11:54.814	1540289528882469															0	2		Fixation	157	794	484	4,86	90,00		104	793.0	464.0	786.0	472.0	789.0	468.0	789.0	468.0	212,15	165,50	210,45	163,24	211,30	164,37	212,00	141,37	599,95	274,51	140,92	599,56					614,64	614,64	3,19	3,52	0	0				
2	2	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	366172	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	32174	90558	58383					32708	12:11:55.004	1540289529072389															0	3		Fixation	453	794	293	1,77	83,50	353,50	161	793.0	295.0	790.0	279.0	791.0	287.0	791.0	287.0	212,14	210,88	211,54	215,10	211,84	212,99	212,40	141,75	599,81	274,71	141,28	599,64					614,59	614,59	3,07	3,31	0	0				
3	3	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	366172	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	32174	90558	58383					33184	12:11:55.481	1540289529549016															0	4		Fixation	353	802	223	1,53	288,08	204,58	304	797.0	224.0	792.0	213.0	794.0	218.0	794.0	218.0	213,22	229,81	212,01	232,67	212,62	231,24	212,39	141,93	600,09	274,78	141,51	599,87					614,91	614,91	2,94	3,18	0	0				
4	4	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	366172	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	32174	90558	58383					33561	12:11:55.857	1540289529925617															0	5		Fixation	163	821	281	3,21	97,90	169,82	417	823.0	288.0	818.0	281.0	820.0	284.0	820.0	284.0	220,30	212,65	219,03	214,64	219,67	213,64	212,81	141,83	599,88	275,23	141,37	599,69					614,65	614,65	3,18	3,45	0	0				
5	5	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	366172	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	32174	90558	58383					33751	12:11:56.047	1540289530115600															0	6		Fixation	367	810	202	0,67	212,88	114,98	474																			-34,01										4	4				
6	6	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	366172	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	32174	90558	58383					34141	12:11:56.437	1540289530505586															0	7		Fixation	120	765	231	6,21	339,48	126,59	591																			-34,01										4	4				
7	7	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	366172	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	32174	90558	58383					34291	12:11:56.587	1540289530655498															0	8		Fixation	320	899	281	2,04	356,56	17,08	636	904.0	289.0	911.0	272.0	907.0	280.0	907.0	280.0	241,95	212,39	243,68	216,95	242,82	214,67	212,23	141,88	599,86	274,64	141,51	599,52					614,69	614,69	3,32	3,61	0	0				
8	8	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	366172	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	32174	90558	58383					34631	12:11:56.927	1540289530995501															0	9		Fixation	93	949	284	6,13	206,64	210,08	738																			-34,01										4	4				
9	9	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	366172	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	32174	90558	58383					34757	12:11:57.054	1540289531122137															0	10		Fixation	197	809	354	3,12	261,57	54,93	776	810.0	366.0	803.0	353.0	806.0	359.0	806.0	359.0	216,70	191,69	215,02	195,23	215,86	193,46	212,76	141,84	599,90	275,15	141,34	599,67					614,68	614,68	3,32	3,60	0	0				
10	10	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	366172	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	32174	90558	58383					34981	12:11:57.277	1540289531345448															0	11		Fixation	253	791	475	1,26	342,25	80,68	843	800.0	493.0	772.0	500.0	786.0	496.0	786.0	496.0	214,16	157,71	206,72	155,70	210,44	156,71	212,44	141,38	599,85	274,83	140,98	599,53					614,52	614,52	3,26	3,56	0	0				
11	11	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	366172	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	32174	90558	58383					35254	12:11:57.550	1540289531618782															0	12		Fixation	150	838	490	0,67	261,28	279,04	925	852.0	492.0	831.0	502.0	841.0	497.0	841.0	497.0	227,89	157,84	222,33	155,22	225,11	156,53	212,15	140,79	599,54	274,66	140,46	599,09					614,08	614,08	3,27	3,55	0	0				
