	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
0	0	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	346781	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	33148	123260	90112					33177	12:03:08.890	1542279845144430															0	1		Fixation	180	978	573				9	956.0	571.0	1002.0	560.0	979.0	565.0	979.0	565.0	255,87	136,59	268,11	139,74	261,99	138,16	220,15	202,39	544,72	284,97	202,66	544,85					583,46	583,46	4,37	4,41	0	0				
1	1	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	346781	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	33148	123260	90112					33397	12:03:09.110	1542279845364351															0	2		Fixation	247	822	411	6,30	133,83		75	820.0	417.0	829.0	385.0	824.0	401.0	824.0	401.0	219,36	177,97	221,79	186,66	220,58	182,32	219,49	202,81	544,96	284,53	203,08	545,08					583,88	583,88	4,19	4,26	0	0				
2	2	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	346781	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	33148	123260	90112					33677	12:03:09.390	1542279845644354															0	3		Fixation	190	777	272	4,11	107,88	334,06	159	767.0	273.0	776.0	257.0	771.0	265.0	771.0	265.0	205,38	216,61	207,62	221,06	206,50	218,83	218,82	202,94	544,60	283,76	203,31	544,55					583,66	583,66	4,13	4,14	0	0				
3	3	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	346781	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	33148	123260	90112					33887	12:03:09.600	1542279845854304															0	4		Fixation	173	737	295	1,29	209,98	102,09	222	723.0	302.0	724.0	285.0	723.0	293.0	723.0	293.0	193,39	208,85	193,75	213,41	193,57	211,13	218,53	202,83	544,61	283,67	203,18	544,45					583,63	583,63	4,04	4,04	0	0				
4	4	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	346781	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	33148	123260	90112					34177	12:03:09.890	1542279846144314															0	5		Fixation	153	762	202	2,70	75,00	225,02	309	754.0	181.0	768.0	209.0	761.0	195.0	761.0	195.0	201,89	241,23	205,46	233,72	203,67	237,47	218,12	203,30	545,14	283,19	203,61	544,91					584,33	584,33	4,07	4,01	0	0				
5	5	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	346781	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	33148	123260	90112					34350	12:03:10.063	1542279846317559															0	6		Fixation	147	716	209	1,30	188,68	113,68	361	697.0	212.0	712.0	199.0	704.0	205.0	704.0	205.0	186,64	233,13	190,56	236,49	188,60	234,81	217,51	203,05	544,91	282,67	203,46	544,56					584,06	584,06	4,13	4,10	0	0				
6	6	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	346781	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	33148	123260	90112					34620	12:03:10.333	1542279846587577															0	7		Fixation	280	835	221	5,71	354,22	165,54	442																			-34,01										4	4				
7	7	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	346781	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	33148	123260	90112					35074	12:03:10.787	1542279847040864															0	8		Fixation	100	1106	257	12,31	352,41	358,19	578	1108.0	261.0	819.0	198.0	963.0	229.0	963.0	229.0	296,42	219,87	219,14	236,77	257,78	228,32	281,11	203,86	542,69	281,41	207,01	549,74					581,54	581,54	4,29	4,34	1	3				
8	8	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	346781	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	33148	123260	90112					35220	12:03:10.933	1542279847187469															0	9		Fixation	137	743	246	16,55	178,26	185,85	622																			-34,01										4	4				
9	9	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	346781	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	33148	123260	90112					35384	12:03:11.097	1542279847350827															0	10		Fixation	200	868	240	5,85	2,76	184,50	671	865.0	254.0	883.0	226.0	874.0	240.0	874.0	240.0	231,49	221,72	236,31	229,27	233,90	225,50	215,71	203,11	542,03	280,85	203,70	541,53					581,60	581,60	4,24	4,28	0	0				
10	10	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	346781	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	33148	123260	90112					35600	12:03:11.313	1542279847567463															0	11		Fixation	130	834	243	1,55	185,06	182,30	736																			-34,01										4	4				
11	11	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	346781	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	33148	123260	90112					35837	12:03:11.550	1542279847804071															0	12		Fixation	97	809	238	1,22	168,65	343,60	807	801.0	236.0	819.0	227.0	810.0	231.0	810.0	231.0	214,34	226,61	219,13	229,04	216,73	227,82	216,38	203,51	540,84	281,52	204,07	540,30					580,62	580,62	4,10	4,12	0	0				
12	12	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	346781	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	33148	123260	90112					35964	12:03:11.676	1542279847930715															0	13		Fixation	173	749	195	3,64	144,28	335,63	845																			-34,01										4	4				
13	13	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	346781	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	33148	123260	90112					36157	12:03:11.870	1542279848124087															0	14		Fixation	103	706	203	2,07	190,57	46,29	903	696.0	212.0	690.0	190.0	693.0	201.0	693.0	201.0	186,23	232,96	184,64	239,00	185,44	235,98	217,08	203,02	539,60	282,27	203,57	538,93					579,25	579,25	4,06	4,14	0	0				
14	14	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	346781	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	33148	123260	90112					36287	12:03:12.000	1542279848254042															0	15		Fixation	177	859	202	7,21	0,38	169,80	942																			-34,01										4	4				
15	15	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	346781	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	33148	123260	90112					36583	12:03:12.296	1542279848550632															0	16		Fixation	157	880	249	2,43	294,01	293,63	1031	867.0	237.0	896.0	219.0	881.0	228.0	881.0	228.0	231,96	226,40	239,78	231,15	235,87	228,78	217,63	203,03	538,38	282,77	203,65	537,94					578,11	578,11	4,16	4,17	0	0				
16	16	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	346781	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	33148	123260	90112					36767	12:03:12.480	1542279848733945															0	17		Fixation	147	750	247	3,69	179,12	245,11	1086	741.0	248.0	743.0	233.0	742.0	240.0	742.0	240.0	198,34	223,24	198,79	227,50	198,56	225,37	217,16	202,93	538,31	282,30	203,56	537,61					578,03	578,03	4,12	4,13	0	0				
