	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
0	0	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	285811	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	18732	45868	27136					18733	09:07:03.505	1541578064986174															0	1		Fixation	680	972	856				1	939	870	1013	890	976	880	976	880	251,41	56,45	270,99	51,01	261,20	53,73	225,83	226,22	578,72	288,16	226,47	577,61					623,87	623,87	2,47	2,74	0	0				
1	1	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	285811	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	18732	45868	27136					18849	09:07:03.621	1541578065102867															0	2		Fixation	220	801	471	4,91	87,55		36	802	446	811	467	806	456	806	456	214,49	170,12	217,08	164,48	215,79	167,30	225,66	227,48	578,89	287,62	227,80	577,73					624,56	624,56	2,75	2,88	0	0				
2	2	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	285811	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	18732	45868	27136					19126	09:07:03.898	1541578065379469															0	3		Fixation	127	809	285	1,52	124,99	37,44	119	803	284	825	278	814	281	814	281	214,99	213,67	220,70	215,33	217,84	214,50	225,62	227,99	578,62	287,66	228,72	578,44					624,53	624,53	2,74	2,86	0	0				
3	3	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	285811	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	18732	45868	27136					19273	09:07:04.045	1541578065526154															0	4		Fixation	170	776	238	0,75	45,09	280,11	163	777	240	776	216	776	228	776	228	208,03	225,39	207,72	232,03	207,88	228,71	225,57	228,31	578,57	287,70	228,47	577,12					624,62	624,62	2,67	2,76	0	0				
4	4	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	285811	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	18732	45868	27136					19453	09:07:04.225	1541578065706116															0	5		Fixation	330	796	218	0,90	174,94	129,85	217	811	234	790	202	800	218	800	218	217,03	227,00	211,43	235,66	214,23	231,33	225,67	228,31	578,77	287,87	228,44	577,19					624,79	624,79	2,60	2,66	0	0				
5	5	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	285811	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	18732	45868	27136					19803	09:07:04.575	1541578066056065															0	6		Fixation	193	762	215	23,13	323,55	148,61	322	768	227	755	193	761	210	761	210	205,51	228,89	202,07	238,00	203,79	233,44	225,42	227,74	578,49	287,56	228,03	577,13					624,32	624,32	2,54	2,64	0	0				
6	6	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	285811	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	18732	45868	27136					20176	09:07:04.948	1541578066429422															0	7		Fixation	180	1486	748	18,74	150,00	186,45	434	1490	751	1491	786	1490	768	1490	768	398,71	88,20	399,04	79,00	398,88	83,60	227,80	227,34	579,59	289,83	227,76	578,96					625,04	625,04	2,52	2,68	0	0				
7	7	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	285811	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	18732	45868	27136					20419	09:07:05.191	1541578066672671															0	8		Fixation	117	850	382	2,82	116,73	326,73	507	877	363	826	383	851	373	851	373	234,62	192,38	221,05	187,06	227,84	189,72	226,68	228,20	579,39	288,58	228,42	578,30					625,26	625,26	2,71	2,86	0	0				
8	8	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	285811	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	18732	45868	27136					20566	09:07:05.338	1541578066819347															0	9		Fixation	133	802	287	0,82	75,11	318,38	551	819	300	781	280	800	290	800	290	219,15	209,29	208,98	214,74	214,06	212,02	226,45	228,34	578,96	288,55	228,49	577,84					624,94	624,94	2,78	2,95	0	0				
9	9	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	285811	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	18732	45868	27136					20716	09:07:05.488	1541578066969297															0	10		Fixation	180	810	257	0,88	32,82	317,70	596	833	266	796	235	814	250	814	250	222,94	218,44	213,06	226,80	218,00	222,62	226,32	228,37	579,14	288,51	228,24	577,42					625,13	625,13	2,72	2,84	0	0				
10	10	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	285811	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	18732	45868	27136					20922	09:07:05.694	1541578067175929															0	11		Fixation	160	838	239	2,67	176,59	143,77	658	868	254	824	214	846	234	846	234	232,23	221,79	220,37	232,42	226,30	227,11	226,31	228,30	578,74	288,52	228,12	577,09					624,73	624,73	2,63	2,70	0	0				
11	11	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	285811	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	18732	45868	27136					21109	09:07:05.881	1541578067362585															0	12		Fixation	177	737	233	0,57	195,99	19,40	714	753	244	710	229	731	236	731	236	201,63	224,43	190,02	228,34	195,83	226,38	225,72	228,07	578,59	287,93	228,03	577,07					624,53	624,53	2,55	2,65	0	0				
12	12	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	285811	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	18732	45868	27136					21296	09:07:06.068	1541578067549258															0	13		Fixation	200	716	239	0,82	343,25	147,26	770	729	265	693	233	711	249	711	249	195,03	218,77	185,33	227,50	190,18	223,14	225,58	227,95	578,40	287,82	227,89	576,83					624,32	624,32	2,55	2,67	0	0				
13	13	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	285811	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	18732	45868	27136					21512	09:07:06.284	1541578067765824															0	14		Fixation	147	746	248	1,83	6,63	23,38	835	764	281	746	235	755	258	755	258	204,35	214,57	199,69	226,95	202,02	220,76	225,54	227,97	578,67	287,78	228,28	577,76					624,57	624,57	2,57	2,71	0	0				
