	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
0	0	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	292628	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	35276	86242	50967					35284	11:05:17.040	1539939912859113															0	1		Fixation	187	909	973				3																			-34,01										4	4				
1	1	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	292628	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	35276	86242	50967					35514	11:05:17.270	1539939913089096															0	2		Fixation	187	812	460	26,28	100,67		72	805.0	448.0	812.0	455.0	808.0	451.0	808.0	451.0	215,55	169,76	217,19	167,82	216,37	168,79	214,68	188,98	560,36	278,57	182,27	560,13					592,94	592,94	3,48	3,47	0	0				
2	2	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	292628	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	35276	86242	50967					35738	11:05:17.493	1539939913312401															0	3		Fixation	313	792	238	6,10	95,13	354,46	139	787.0	224.0	786.0	232.0	786.0	228.0	786.0	228.0	210,57	229,82	210,40	227,59	210,49	228,71	214,65	189,84	560,97	278,57	183,12	560,71					593,83	593,83	3,43	3,48	0	0				
3	3	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	292628	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	35276	86242	50967					36071	11:05:17.826	1539939913645652															0	4		Fixation	193	759	217	1,06	147,45	52,31	239	757.0	215.0	755.0	214.0	756.0	214.0	756.0	214.0	202,63	232,30	201,95	232,39	202,29	232,35	214,47	189,96	561,03	278,52	183,24	560,69					593,95	593,95	3,16	3,18	0	0				
4	4	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	292628	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	35276	86242	50967					36284	11:05:18.040	1539939913858992															0	5		Fixation	290	815	203	1,57	14,08	226,63	303	825.0	203.0	816.0	209.0	820.0	206.0	820.0	206.0	220,75	235,55	218,44	233,91	219,59	234,73	214,48	190,04	560,68	278,53	183,36	560,40					593,65	593,65	3,06	3,08	0	0				
5	5	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	292628	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	35276	86242	50967					36591	11:05:18.346	1539939914165601															0	6		Fixation	300	847	202	0,87	1,80	347,72	395	848.0	196.0	850.0	208.0	849.0	202.0	849.0	202.0	226,87	237,41	227,48	234,16	227,18	235,78	215,33	190,47	561,30	279,40	183,75	561,20					594,33	594,33	3,03	3,06	0	0				
6	6	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	292628	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	35276	86242	50967					36918	11:05:18.673	1539939914492254															0	7		Fixation	193	767	239	2,40	204,89	203,10	493	770.0	232.0	763.0	239.0	766.0	235.0	766.0	235.0	205,96	227,60	204,25	225,69	205,10	226,64	214,58	190,68	561,12	278,63	183,96	560,87					594,29	594,29	3,00	3,05	0	0				
7	7	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	292628	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	35276	86242	50967					37134	11:05:18.890	1539939914708827															0	8		Fixation	150	773	303	1,75	275,34	70,45	558	782.0	301.0	772.0	308.0	777.0	304.0	777.0	304.0	209,17	209,20	206,52	207,14	207,85	208,17	214,46	190,65	561,09	278,53	183,95	560,91					594,27	594,27	3,08	3,08	0	0				
8	8	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	292628	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	35276	86242	50967					37307	11:05:19.063	1539939914882185															0	9		Fixation	87	821	301	1,31	2,39	87,05	610	825.0	305.0	811.0	300.0	818.0	302.0	818.0	302.0	220,75	207,97	216,98	209,41	218,86	208,69	214,76	190,58	560,90	278,87	183,91	560,73					594,04	594,04	3,10	3,11	0	0				
9	9	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	292628	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	35276	86242	50967					37577	11:05:19.333	1539939915152174															0	10		Fixation	117	824	296	0,16	59,12	56,72	691	821.0	293.0	831.0	274.0	826.0	283.0	826.0	283.0	219,60	211,29	222,26	216,41	220,93	213,85	215,61	190,87	560,63	279,76	184,39	560,44					593,84	593,84	3,18	3,24	0	0				
10	10	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	292628	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	35276	86242	50967					37731	11:05:19.486	1539939915305485															0	11		Fixation	283	982	291	4,32	1,82	302,70	737	981.0	286.0	991.0	288.0	986.0	287.0	986.0	287.0	262,45	213,04	265,17	212,69	263,81	212,87	216,16	191,02	560,94	280,26	184,14	560,94					594,15	594,15	3,18	3,17	0	0				
